title,artist,link
Hairy Veg (2016),Eden Hawkins,https://collections.ed.ac.uk/art/record/99266?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53684?highlight=*:*
Unknown,Alan M. Alexander,https://collections.ed.ac.uk/art/record/50598?highlight=*:*
From Rialto Venezia (10 Mar 1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/20854?highlight=*:*
Standing Man with Scythe,John Houston,https://collections.ed.ac.uk/art/record/20770?highlight=*:*
Vilnius Academy of Fine Arts,Unknown,https://collections.ed.ac.uk/art/record/99853?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,https://collections.ed.ac.uk/art/record/99453?highlight=*:*
Unknown,Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/50638?highlight=*:*
Champagne (1993),Robert I Montgomery,https://collections.ed.ac.uk/art/record/99416?highlight=*:*
Standing Male Nude,John Hunter,https://collections.ed.ac.uk/art/record/21043?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,https://collections.ed.ac.uk/art/record/20574?highlight=*:*
Standing Male Nude (Dec 1951),M McKeown,https://collections.ed.ac.uk/art/record/21225?highlight=*:*
Untitled (1986),Sylvia Cameron,https://collections.ed.ac.uk/art/record/21716?highlight=*:*
Standing Woman (1965),William Gillon,https://collections.ed.ac.uk/art/record/21315?highlight=*:*
Portrait of Standing Woman seen from behind,Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/20822?highlight=*:*
Bloomers,Unknown,https://collections.ed.ac.uk/art/record/102663?highlight=*:*
Woman in a Blue Background,Ian Paterson,https://collections.ed.ac.uk/art/record/22696?highlight=*:*
Untitled - Sprite in Long Gown (1963),Iona Murray,https://collections.ed.ac.uk/art/record/99402?highlight=*:*
Four way / Exchange Portfolio (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99854?highlight=*:*
Unknown (1952),Rosemary Bagshaw,https://collections.ed.ac.uk/art/record/53520?highlight=*:*
Venice (1951),Sax Shaw,https://collections.ed.ac.uk/art/record/99849?highlight=*:*
Seated Male Nude,John Houston,https://collections.ed.ac.uk/art/record/21044?highlight=*:*
Unknown (1960),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50595?highlight=*:*
Face Value (2007),Annette Kierulf,https://collections.ed.ac.uk/art/record/99902?highlight=*:*
Unknown,Alexander S Campbell,https://collections.ed.ac.uk/art/record/50632?highlight=*:*
Standing Female Nude (1954),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21246?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53658?highlight=*:*
Seated Young Male Nude (1948),Victorine Anne Schilsky,https://collections.ed.ac.uk/art/record/20832?highlight=*:*
Gem cabinet 5 (of 6) containing 43 medallions,Unknown,https://collections.ed.ac.uk/art/record/20619?highlight=*:*
Untitled,NA,https://collections.ed.ac.uk/art/record/21840?highlight=*:*
Untitled,NA,https://collections.ed.ac.uk/art/record/112505?highlight=*:*
Virgin and Child (statuette head of child missing),Unknown,https://collections.ed.ac.uk/art/record/20559?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53546?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53626?highlight=*:*
Grey Cover,Unknown,https://collections.ed.ac.uk/art/record/22633?highlight=*:*
Portrait of a Man (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21331?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20671?highlight=*:*
Standing Male Nude (1954),John P Busby,https://collections.ed.ac.uk/art/record/21377?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20666?highlight=*:*
Untitled (Jan 1997),Sharon Cornwill,https://collections.ed.ac.uk/art/record/21920?highlight=*:*
Unknown,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50426?highlight=*:*
Landscape (Circa 1988),Arlene Isbister,https://collections.ed.ac.uk/art/record/22604?highlight=*:*
Untitled (2006),Siri Gossman,https://collections.ed.ac.uk/art/record/99883?highlight=*:*
Coupar,Unknown,https://collections.ed.ac.uk/art/record/50409?highlight=*:*
Woman (1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/22617?highlight=*:*
Portrait of a Woman (1957),Colin Turner,https://collections.ed.ac.uk/art/record/21144?highlight=*:*
Unknown (1949),Betty Elston,https://collections.ed.ac.uk/art/record/50583?highlight=*:*
Untitled,Anne Waterhouse,https://collections.ed.ac.uk/art/record/112342?highlight=*:*
Untitled (Unknown),Donald Clark,https://collections.ed.ac.uk/art/record/21636?highlight=*:*
Seated Nude Woman (1951),James P W Syme,https://collections.ed.ac.uk/art/record/22513?highlight=*:*
Man with Spring Plants (1953),Leonard Baskin,https://collections.ed.ac.uk/art/record/21687?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20694?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21988?highlight=*:*
Untitled (2007),Rob Hunter,https://collections.ed.ac.uk/art/record/99893?highlight=*:*
